id,question,A,B,C,D,answer,difficulty
57,Traceroute dùng?,ICMP,TCP,UDP,Cả A,B,A,medium
58,HTTPS bảo mật bằng?,SSL/TLS,IPSec,SSH,VPN,A,medium
59,Port range well-known?,0-1023,1024-49151,49152-65535,All,A,medium
60,Socket gồm?,IP+Port,MAC+IP,Port+Protocol,IP+MAC,A,medium
61,QoS dùng?,Ưu tiên lưu lượng,Bảo mật,Định tuyến,Chia VLAN,A,medium
62,Routing static?,Thủ công,Tự động,Ngẫu nhiên,Broadcast,A,medium
63,Routing dynamic?,RIP,OSPF,BGP,Cả A,B,C,D,medium
64,RIP metric?,Hop count,Bandwidth,Delay,Cost,A,medium
65,OSPF metric?,Cost,Hop,Bandwidth,Delay,A,medium
66,BGP dùng?,Internet ISP,LAN,WiFi,VPN,A,medium
67,Firewall stateful?,Theo dõi phiên,Theo IP,Theo port,Theo MAC,A,medium
68,Proxy server?,Trung gian,Bảo mật,Tăng tốc,Cả A,B,C,D,medium
69,VPN dùng?,Mã hóa,Kết nối riêng,Remote access,Cả A,B,C,D,medium
70,Load balancing?,Phân tải,Chia mạng,Bảo mật,Mã hóa,A,medium
71,Three-way handshake?,SYN,SYN-ACK,ACK,Cả A,B,C,D,hard
72,TCP congestion control?,Slow start,AIMD,Fast retransmit,Cả A,B,C,D,hard
73,IP fragmentation xảy ra?,MTU nhỏ,Router,Host,Cả A,B,C,D,hard
74,Subnet /26 có bao nhiêu host?,62,64,30,126,A,hard
75,ARP spoofing?,Giả mạo MAC,Tấn công DNS,DoS,Sniffing,A,hard
76,Man-in-the-middle?,Nghe lén,Chặn gói,Giả mạo,Cả A,B,C,D,hard
77,IPSec tầng?,Network,Transport,Application,Data Link,A,hard
78,SSL handshake dùng?,Certificate,Key exchange,Encryption,Cả A,B,C,D,hard
79,BGP path selection?,AS Path,Cost,Hop,Delay,A,hard
80,OSPF area 0?,Backbone,Stub,NSSA,Totally Stub,A,hard
81,NAT overload?,PAT,Static,Dynamic,DNAT,A,hard
82,IPv6 không có?,Broadcast,Multicast,Anycast,Unicast,A,hard
83,RA trong IPv6?,Router Advertisement,ARP,ICMPv4,DHCP,A,hard
84,STP dùng?,Chống loop,Tăng tốc,Bảo mật,NAT,A,hard
85,802.1Q dùng?,VLAN tagging,Routing,NAT,VPN,A,hard
86,Wireshark là?,Sniffer,Firewall,Router,IDS,A,hard
87,IDS khác IPS?,Phát hiện,Chặn,Tốc độ,Vị trí,A,hard
88,DoS tấn công?,Tài nguyên,Bảo mật,IP,Port,A,hard
89,Zero Trust?,Không tin mặc định,VPN,Firewall,NAT,A,hard
90,SDN tách?,Control plane,Data plane,Management,Cả A,B,C,D,hard
