id,question,A,B,C,D,answer,difficulty
53,Git merge dùng để?,Tạo nhánh,Gộp nhánh,Xóa nhánh,Đổi tên,B,medium
54,Deadlock xảy ra khi?,Thiếu RAM,Xung đột tài nguyên,Lỗi cú pháp,Timeout,B,medium
55,Python global dùng để?,Biến toàn cục,Import module,Định nghĩa hàm,Khai báo class,A,medium
56,Constructor được gọi khi?,Kết thúc object,Tạo object,Gọi hàm static,Compile,B,medium
57,Java garbage collection dùng để?,Tối ưu CPU,Dọn bộ nhớ,Tăng tốc IO,Bảo mật,B,medium
58,Normalization trong DB?,Giảm dư thừa,Tăng dữ liệu,Mã hóa,Nén,A,medium
59,Linked list khác array?,Kích thước động,Truy cập nhanh,Ít bộ nhớ,Không pointer,A,medium
60,REST API dùng?,XML,JSON,HTML,Cả A và B,D,medium
61,Thread là?,Tiến trình,Luồng nhẹ,Chương trình,CPU,B,medium
62,Python lambda là?,Hàm ẩn danh,Hàm đệ quy,Class,Hàm generator,A,medium
63,Inheritance là?,Đóng gói,Kế thừa,Đa hình,Trừu tượng,B,medium
64,Time complexity của binary search?,O(n),O(log n),O(n²),O(1),B,medium
65,SQL JOIN dùng để?,Gộp bảng,Xóa bảng,Tạo bảng,Index,A,medium
66,Exception unchecked là?,Runtime,Compile,Logic,System,A,medium
67,Virtual function dùng?,Overloading,Override,Dynamic binding,Static binding,C,medium
68,Hash table ưu điểm?,Tìm nhanh,Sắp xếp,Duyệt tuần tự,Ít RAM,A,medium
69,API stateless nghĩa là?,Không lưu session,Lưu cache,Bảo mật cao,Chậm,A,medium
70,Python generator dùng yield để?,Trả nhiều giá trị,Dừng loop,Thoát hàm,In ra,A,medium
71,Big-O của quicksort trung bình?,O(n²),O(n log n),O(log n),O(n),B,hard
72,Race condition xảy ra khi?,1 thread,Nhiều thread truy cập chung,Lỗi IO,Deadlock,B,hard
73,SQL ACID chữ C là?,Consistency,Concurrency,Correctness,Control,A,hard
74,Virtual memory dùng để?,Tăng RAM ảo,Giảm CPU,Tăng IO,Bảo mật,A,hard
75,Polymorphism đạt được bằng?,Overloading,Override,Cả A và B,Không có,C,hard
76,Heap khác stack?,Cấp phát động,Tốc độ,Bộ nhớ tĩnh,Compile,A,hard
77,DFS dùng cấu trúc?,Queue,Stack,Heap,Tree,B,hard
78,Index DB giúp?,Tăng truy vấn,Tăng lưu trữ,Bảo mật,Khóa,A,hard
79,Mutex dùng để?,Đồng bộ,Bộ nhớ,IO,Network,A,hard
80,Dependency Injection giúp?,Giảm coupling,Tăng code,Tăng bug,Giảm test,A,hard
81,REST PUT khác PATCH?,Toàn phần,Một phần,Method,Caching,A,hard
82,Garbage collector mark-sweep?,Đánh dấu & thu gom,Nén,Tối ưu CPU,Swap,A,hard
83,Normalization mức 3NF?,Loại bỏ phụ thuộc bắc cầu,Khóa chính,Index,Trigger,A,hard
84,Time complexity worst của merge sort?,O(n²),O(n log n),O(log n),O(n),B,hard
85,Thread pool dùng để?,Giảm tạo thread,Tăng RAM,Deadlock,Bottleneck,A,hard
86,SQL HAVING khác WHERE?,Lọc sau group,Lọc trước group,Join,Index,A,hard
87,Cache invalidation là?,Xóa cache cũ,Tạo cache mới,Backup,Sync,A,hard
88,Lock-free programming tránh?,Mutex,Deadlock,Race condition,Cả A và B,D,hard
89,Memory leak là?,Rò rỉ RAM,Lỗi CPU,Lỗi IO,Lỗi logic,A,hard
90,Distributed system CAP chọn tối đa?,1,2,3,4,B,hard
